index,point_timestamp,point_value
0,2023-05-01,323.8090235405651
1,2023-06-01,401.572546309497
2,2023-07-01,444.10312284225336
3,2023-08-01,480.64867539262616
4,2023-09-01,461.0923024049712
5,2023-10-01,427.3871022765814
6,2023-11-01,402.66472517940576
7,2023-12-01,362.6600752835784
8,2024-01-01,330.75818630067056
9,2024-02-01,340.808555739797
10,2024-03-01,359.0409939357089
11,2024-04-01,442.8294320243167
12,2024-05-01,449.47892399788
13,2024-06-01,561.4476687136328
14,2024-07-01,627.1677337447212
15,2024-08-01,642.4141984362308
16,2024-09-01,628.2199525171532
17,2024-10-01,623.4383585690078
18,2024-11-01,562.1545459766885
19,2024-12-01,520.2196534538666
20,2025-01-01,494.79023115559977
21,2025-02-01,521.6418032673539
22,2025-03-01,519.9626763482889
23,2025-04-01,598.4154339025782
