index,point_timestamp,point_value
0,2023-04-23,85.56423584417712
1,2023-04-30,86.78908499310857
2,2023-05-07,82.20619330908806
3,2023-05-14,95.08058696053718
4,2023-05-21,93.50992914646392
5,2023-05-28,89.18543203321062
6,2023-06-04,99.36177644004373
7,2023-06-11,97.36261187602176
8,2023-06-18,87.94008200056275
9,2023-06-25,110.08280696350704
10,2023-07-02,123.47181102839372
11,2023-07-09,122.83009230809644
12,2023-07-16,130.20100043586854
13,2023-07-23,112.13898761819743
14,2023-07-30,127.99376685876884
15,2023-08-06,118.35610257231166
16,2023-08-13,100.82054053625772
17,2023-08-20,113.33845873874618
18,2023-08-27,126.87426477481527
19,2023-09-03,106.63794672247676
20,2023-09-10,140.85234628295663
21,2023-09-17,119.23164835187342
22,2023-09-24,106.05621035576692
23,2023-10-01,110.77290290713488
24,2023-10-08,117.12012215475318
25,2023-10-15,111.63620951546888
26,2023-10-22,106.78309096299796
27,2023-10-29,96.438095426085
28,2023-11-05,101.24503273405384
29,2023-11-12,93.9376299798881
30,2023-11-19,90.81735079571314
31,2023-11-26,83.28811644480555
32,2023-12-03,84.35448975367646
33,2023-12-10,63.17426177907769
34,2023-12-17,80.57570188771797
35,2023-12-24,103.72139378643328
36,2023-12-31,80.9076450605981
37,2024-01-07,78.52476477201598
38,2024-01-14,66.11375433450104
39,2024-01-21,79.93261662931918
40,2024-01-28,82.17240527976543
41,2024-02-04,89.37649125453616
42,2024-02-11,91.93717600218162
43,2024-02-18,78.71334468210036
44,2024-02-25,94.0337486629194
45,2024-03-03,75.71801001455475
46,2024-03-10,95.31925059898214
47,2024-03-17,108.14703405419198
48,2024-03-24,90.67173882493223
49,2024-03-31,96.63179157437854
50,2024-04-07,111.93456465533596
51,2024-04-14,129.99326585330942
52,2024-04-21,115.88260236056288
53,2024-04-28,123.15232563321167
54,2024-05-05,127.3334399178717
55,2024-05-12,141.95289358971675
56,2024-05-19,124.0060479967412
57,2024-05-26,132.4120396822007
58,2024-06-02,134.80262388705407
59,2024-06-09,149.55543331012817
60,2024-06-16,147.1064438512372
61,2024-06-23,171.72990912363886
62,2024-06-30,153.0396669703708
63,2024-07-07,154.68439921564791
64,2024-07-14,163.698299473465
65,2024-07-21,143.12884049626908
66,2024-07-28,169.11522562568766
67,2024-08-04,149.05135379654556
68,2024-08-11,193.9159504497576
69,2024-08-18,148.71072063551406
70,2024-08-25,145.87717255674
71,2024-09-01,155.3952399531038
72,2024-09-08,171.29054759235044
73,2024-09-15,148.4882593787382
74,2024-09-22,141.02836434912072
75,2024-09-29,132.80466405644722
76,2024-10-06,158.3573836760421
77,2024-10-13,137.90841138147795
78,2024-10-20,155.2702929722351
79,2024-10-27,136.12349395740566
80,2024-11-03,138.5948494189572
81,2024-11-10,127.61066909394336
82,2024-11-17,126.94176983056938
83,2024-11-24,120.13239681063554
84,2024-12-01,118.27105248087884
85,2024-12-08,124.352416094209
86,2024-12-15,127.56932097076208
87,2024-12-22,108.1024344691574
88,2024-12-29,113.0909460635858
89,2025-01-05,114.0383225451237
90,2025-01-12,120.04623093380516
91,2025-01-19,132.66235600204783
92,2025-01-26,125.25431717560303
93,2025-02-02,112.6313466201556
94,2025-02-09,121.75258493424218
95,2025-02-16,126.05833413493374
96,2025-02-23,129.3830037677576
97,2025-03-02,128.5177413212434
98,2025-03-09,138.7461312949152
99,2025-03-16,122.50442857749395
100,2025-03-23,148.310621015791
101,2025-03-30,143.49267551617956
102,2025-04-06,166.6149235888211
103,2025-04-13,135.16013675952965
